,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25
2021-09-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 05:00:00,0.046749157873557,0.039846360046083,0.238218748002551,0.238218748002551,0.046749157873557,0.046749157873557,0.017340864891701,0.029898491425188,0.046749157873557,0.238218748002551,0.238218748002551,0.046749157873557,0.046749157873557,0.001619117428662,0.001619117428662,0.029898491425188,0.017097228222997,0.017097228222997,0.046749157873557,0.029898491425188,0.001619117428662,0.238218748002551,0.068865293457839,0.029898491425188,0.001619117428662
2021-09-01 06:00:00,0.102316939727158,0.009707411284471,0.487193223833866,0.487193223833866,0.102316939727158,0.102316939727158,0.147189699837126,0.087586617523801,0.102316939727158,0.487193223833866,0.487193223833866,0.102316939727158,0.102316939727158,0.118266649606243,0.118266649606243,0.087586617523801,0.058238711782887,0.058238711782887,0.102316939727158,0.087586617523801,0.118266649606243,0.487193223833866,0.149467154306179,0.087586617523801,0.118266649606243
2021-09-01 07:00:00,0.331796874012825,0.018634806086587,0.6365441435164201,0.6365441435164201,0.331796874012825,0.331796874012825,0.0830613484765659,0.1811016295950689,0.331796874012825,0.6365441435164201,0.6365441435164201,0.331796874012825,0.331796874012825,0.018867779342346,0.018867779342346,0.1811016295950689,0.019175347028073,0.019175347028073,0.331796874012825,0.1811016295950689,0.018867779342346,0.6365441435164201,0.184240734538817,0.1811016295950689,0.018867779342346
2021-09-01 08:00:00,0.677171891681354,0.043978851104691,0.757181539229731,0.757181539229731,0.677171891681354,0.677171891681354,0.065900055360847,0.343762652787941,0.677171891681354,0.757181539229731,0.757181539229731,0.677171891681354,0.677171891681354,0.261476761557616,0.261476761557616,0.343762652787941,0.0440374223766209,0.0440374223766209,0.677171891681354,0.343762652787941,0.261476761557616,0.757181539229731,0.171517215683875,0.343762652787941,0.261476761557616
2021-09-01 09:00:00,0.664182989540362,0.1160571609797029,0.8184410641636608,0.8184410641636608,0.664182989540362,0.664182989540362,0.066682769088914,0.364478644282573,0.664182989540362,0.8184410641636608,0.8184410641636608,0.664182989540362,0.664182989540362,0.061037543328243,0.061037543328243,0.364478644282573,0.083784619530398,0.083784619530398,0.664182989540362,0.364478644282573,0.061037543328243,0.8184410641636608,0.0767705239033479,0.364478644282573,0.061037543328243
2021-09-01 10:00:00,0.694177120583173,0.3653322180362089,0.818188388956662,0.818188388956662,0.694177120583173,0.694177120583173,0.039790144596295,0.354760133883109,0.694177120583173,0.818188388956662,0.818188388956662,0.694177120583173,0.694177120583173,0.038178858329208,0.038178858329208,0.354760133883109,0.045832259156684,0.045832259156684,0.694177120583173,0.354760133883109,0.038178858329208,0.818188388956662,0.042399279046131,0.354760133883109,0.038178858329208
2021-09-01 11:00:00,0.5798965136004711,0.58949403536247,0.776237257104132,0.776237257104132,0.5798965136004711,0.5798965136004711,0.048935425194047,0.4380541761668309,0.5798965136004711,0.776237257104132,0.776237257104132,0.5798965136004711,0.5798965136004711,0.038342074172529,0.038342074172529,0.4380541761668309,0.176604563859677,0.176604563859677,0.5798965136004711,0.4380541761668309,0.038342074172529,0.776237257104132,0.0834043731062529,0.4380541761668309,0.038342074172529
2021-09-01 12:00:00,0.434452777888529,0.725879364920703,0.6663696467566689,0.6663696467566689,0.434452777888529,0.434452777888529,0.064250561888563,0.300349634089413,0.434452777888529,0.6663696467566689,0.6663696467566689,0.434452777888529,0.434452777888529,0.087997068763324,0.087997068763324,0.300349634089413,0.056182240772444,0.056182240772444,0.434452777888529,0.300349634089413,0.087997068763324,0.6663696467566689,0.054128529149567,0.300349634089413,0.087997068763324
2021-09-01 13:00:00,0.4632840406665979,0.7893269176738141,0.5048316127643571,0.5048316127643571,0.4632840406665979,0.4632840406665979,0.029319078297733,0.35464983895533,0.4632840406665979,0.5048316127643571,0.5048316127643571,0.4632840406665979,0.4632840406665979,0.056868735997758,0.056868735997758,0.35464983895533,0.026441471336554,0.026441471336554,0.4632840406665979,0.35464983895533,0.056868735997758,0.5048316127643571,0.049489301050746,0.35464983895533,0.056868735997758
2021-09-01 14:00:00,0.4725731840653669,0.7909762521977629,0.3088307788677069,0.3088307788677069,0.4725731840653669,0.4725731840653669,0.0565681035857229,0.6712558026668439,0.4725731840653669,0.3088307788677069,0.3088307788677069,0.4725731840653669,0.4725731840653669,0.019148152907161,0.019148152907161,0.6712558026668439,0.049296521097888,0.049296521097888,0.4725731840653669,0.6712558026668439,0.019148152907161,0.3088307788677069,0.031937493871497,0.6712558026668439,0.019148152907161
2021-09-01 15:00:00,0.234113659876372,0.7036264435478521,0.102021040943706,0.102021040943706,0.234113659876372,0.234113659876372,0.0297324327087299,0.3285349935486789,0.234113659876372,0.102021040943706,0.102021040943706,0.234113659876372,0.234113659876372,0.01967470420528,0.01967470420528,0.3285349935486789,0.297984766564338,0.297984766564338,0.234113659876372,0.3285349935486789,0.01967470420528,0.102021040943706,0.014676789576778,0.3285349935486789,0.01967470420528
2021-09-01 16:00:00,0.056824835235143,0.4702485683086599,0.022611351181531,0.022611351181531,0.056824835235143,0.056824835235143,0.0,0.2457143594552069,0.056824835235143,0.022611351181531,0.022611351181531,0.056824835235143,0.056824835235143,0.0,0.0,0.2457143594552069,0.077050004561074,0.077050004561074,0.056824835235143,0.2457143594552069,0.0,0.022611351181531,0.009246175927287,0.2457143594552069,0.0
2021-09-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02 05:00:00,0.0941987502042299,0.038471685565982,0.057624001973927,0.057624001973927,0.0941987502042299,0.0941987502042299,0.032969840367341,0.025474697430004,0.0941987502042299,0.057624001973927,0.057624001973927,0.0941987502042299,0.0941987502042299,0.044611640776749,0.044611640776749,0.025474697430004,0.0,0.0,0.0941987502042299,0.025474697430004,0.044611640776749,0.057624001973927,0.061423512352693,0.025474697430004,0.044611640776749
2021-09-02 06:00:00,0.272104936369536,0.006528124969413,0.292633913453427,0.292633913453427,0.272104936369536,0.272104936369536,0.147530216300945,0.07785815097972,0.272104936369536,0.292633913453427,0.292633913453427,0.272104936369536,0.272104936369536,0.120984936643258,0.120984936643258,0.07785815097972,0.0103051838007819,0.0103051838007819,0.272104936369536,0.07785815097972,0.120984936643258,0.292633913453427,0.138347815363464,0.07785815097972,0.120984936643258
2021-09-02 07:00:00,0.529380461979331,0.017520907648297,0.630581513514928,0.630581513514928,0.529380461979331,0.529380461979331,0.284273942415099,0.08691500722343,0.529380461979331,0.630581513514928,0.630581513514928,0.529380461979331,0.529380461979331,0.220449283558632,0.220449283558632,0.08691500722343,0.047239461574908,0.047239461574908,0.529380461979331,0.08691500722343,0.220449283558632,0.630581513514928,0.401302776028152,0.08691500722343,0.220449283558632
2021-09-02 08:00:00,0.6780595579308639,0.039106031700908,0.744820624358739,0.744820624358739,0.6780595579308639,0.6780595579308639,0.220671098874461,0.291048662462993,0.6780595579308639,0.744820624358739,0.744820624358739,0.6780595579308639,0.6780595579308639,0.293132996022079,0.293132996022079,0.291048662462993,0.254730025567878,0.254730025567878,0.6780595579308639,0.291048662462993,0.293132996022079,0.744820624358739,0.269160974019679,0.291048662462993,0.293132996022079
2021-09-02 09:00:00,0.7929266775385021,0.114071532776681,0.802281216731693,0.802281216731693,0.7929266775385021,0.7929266775385021,0.234360044030201,0.349967840188891,0.7929266775385021,0.802281216731693,0.802281216731693,0.7929266775385021,0.7929266775385021,0.168789762860464,0.168789762860464,0.349967840188891,0.327867801855971,0.327867801855971,0.7929266775385021,0.349967840188891,0.168789762860464,0.802281216731693,0.247216643876659,0.349967840188891,0.168789762860464
2021-09-02 10:00:00,0.869031653370432,0.360099822447445,0.805282996921881,0.805282996921881,0.869031653370432,0.869031653370432,0.399316405767239,0.150722307790714,0.869031653370432,0.805282996921881,0.805282996921881,0.869031653370432,0.869031653370432,0.482649529218541,0.482649529218541,0.150722307790714,0.192870700784433,0.192870700784433,0.869031653370432,0.150722307790714,0.482649529218541,0.805282996921881,0.579151408401411,0.150722307790714,0.482649529218541
2021-09-02 11:00:00,0.866011772975006,0.546335567970021,0.7403587978663639,0.7403587978663639,0.866011772975006,0.866011772975006,0.266504826268288,0.122997324053684,0.866011772975006,0.7403587978663639,0.7403587978663639,0.866011772975006,0.866011772975006,0.515021470522276,0.515021470522276,0.122997324053684,0.365208063953974,0.365208063953974,0.866011772975006,0.122997324053684,0.515021470522276,0.7403587978663639,0.312767802964275,0.122997324053684,0.515021470522276
2021-09-02 12:00:00,0.8012734004788691,0.630302795755657,0.6199899109041429,0.6199899109041429,0.8012734004788691,0.8012734004788691,0.284207528672117,0.226814496755896,0.8012734004788691,0.6199899109041429,0.6199899109041429,0.8012734004788691,0.8012734004788691,0.472014499379485,0.472014499379485,0.226814496755896,0.45205143596757,0.45205143596757,0.8012734004788691,0.226814496755896,0.472014499379485,0.6199899109041429,0.417623456697921,0.226814496755896,0.472014499379485
